TransactionAmount,TransactionType,Channel,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_original,Channel_original,cluster
14.09,1,0,70,81,1,5112.21,Debit,ATM,2
376.24,1,0,68,141,1,13758.91,Debit,ATM,1
126.29,1,2,19,56,1,1122.35,Debit,Online,0
184.5,1,2,26,25,1,8569.06,Debit,Online,2
13.45,0,2,26,198,1,7429.4,Credit,Online,2
92.15,1,0,18,172,1,781.68,Debit,ATM,0
7.08,0,0,37,139,1,13316.71,Credit,ATM,1
171.42,0,1,67,291,1,2796.24,Credit,Branch,0
106.23,0,1,51,86,1,9095.14,Credit,Branch,1
815.96,1,0,55,120,1,1021.88,Debit,ATM,0
17.78,0,2,52,59,1,7599.52,Credit,Online,2
190.02,1,2,21,173,1,1528.81,Debit,Online,0
494.52,0,1,24,111,1,1620.02,Credit,Branch,0
781.76,1,0,26,123,1,189.69,Debit,ATM,0
166.99,1,2,18,134,1,299.93,Debit,Online,0
465.45,1,0,36,129,1,3465.54,Debit,ATM,0
555.8,0,1,19,158,1,1131.26,Credit,Branch,0
492.93,1,2,39,234,1,5109.97,Debit,Online,2
18.68,0,1,59,106,1,7948.37,Credit,Branch,2
71.48,0,2,18,169,1,6568.59,Credit,Online,2
59.32,1,1,71,38,1,5750.89,Debit,Branch,2
85.77,1,1,38,93,1,9146.19,Debit,Branch,1
52.2,1,2,39,120,1,8974.93,Debit,Online,2
345.84,1,2,22,142,3,1402.5,Debit,Online,0
145.54,1,2,21,96,1,1930.96,Debit,Online,0
7.49,0,2,65,276,1,3634.67,Credit,Online,0
246.93,1,0,23,158,5,673.35,Debit,ATM,0
40.32,1,1,37,95,1,2686.52,Debit,Branch,0
127.45,1,2,44,197,1,1772.06,Debit,Online,0
56.17,1,1,27,283,1,1351.69,Debit,Branch,0
28.31,0,2,59,20,1,8334.47,Credit,Online,2
59.12,1,0,29,257,1,9823.64,Debit,ATM,1
396.45,1,0,49,168,3,9690.15,Debit,ATM,1
877.81,1,2,22,150,1,399.0,Debit,Online,0
255.26,0,1,45,50,1,14815.87,Credit,Branch,1
124.76,1,1,49,45,1,5764.72,Debit,Branch,2
78.13,1,1,26,145,1,900.61,Debit,Branch,0
649.28,1,0,75,137,1,4875.86,Debit,ATM,2
795.31,1,0,66,90,2,7914.88,Debit,ATM,2
335.63,1,2,55,216,1,1019.39,Debit,Online,0
328.47,1,0,63,119,1,4323.66,Debit,ATM,2
34.02,1,2,38,19,1,14214.48,Debit,Online,1
241.42,0,2,57,116,1,13357.02,Credit,Online,1
55.32,1,0,19,117,1,241.79,Debit,ATM,0
304.31,1,1,27,33,1,868.61,Debit,Branch,0
435.27,1,1,74,90,1,4673.28,Debit,Branch,2
164.49,1,1,26,75,1,1509.27,Debit,Branch,0
510.24,1,2,19,105,1,781.7,Debit,Online,0
626.9,1,2,26,138,1,265.51,Debit,Online,0
22.01,0,2,41,175,1,1335.09,Credit,Online,0
425.34,0,2,69,121,1,3907.54,Credit,Online,0
424.56,1,2,51,264,1,5183.85,Debit,Online,2
85.43,1,1,67,145,1,14904.9,Debit,Branch,1
169.5,1,1,28,142,1,918.88,Debit,Branch,0
104.63,1,0,62,90,1,4477.78,Debit,ATM,2
316.95,1,1,25,83,1,1324.03,Debit,Branch,0
60.54,0,1,57,52,1,3534.93,Credit,Branch,0
292.56,0,1,68,61,1,4638.37,Credit,Branch,2
386.52,1,1,48,28,1,5630.61,Debit,Branch,2
112.07,1,1,23,51,1,930.3,Debit,Branch,0
568.52,1,0,46,152,1,5499.91,Debit,ATM,2
263.99,1,1,79,227,2,4175.02,Debit,Branch,2
349.64,1,2,48,226,1,6651.62,Debit,Online,2
601.4,0,1,56,104,1,8458.29,Credit,Branch,2
5.77,1,2,50,124,1,13988.12,Debit,Online,1
201.33,0,1,42,186,1,2585.07,Credit,Branch,0
298.42,1,1,56,225,1,3014.75,Debit,Branch,0
521.06,1,1,25,128,1,1951.42,Debit,Branch,0
117.28,0,2,60,16,1,3665.77,Credit,Online,0
